,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,state
275,0.5723092081543234,0.032730338195238004,0.18142010927338637,0.5512939516245089,0.5531375483494907,0.499042149452795,8
300,0.5744284294918548,0.032154690330245136,0.17955017549739483,0.5425365671958864,0.55416953624087,0.4970207430037227,8
325,0.5790098007106272,0.03177581861135312,0.17658663424230353,0.5338742569158796,0.554466017724239,0.49537212785099655,8
350,0.5839341004731093,0.031109264119323573,0.17462179408014467,0.5326198743533544,0.554759002037934,0.49307670169551837,8
375,0.5902003902669944,0.030709218496618975,0.1718166948672323,0.5326474010636394,0.5539157745552514,0.4917616920356805,8
400,0.5964672305079801,0.030155309172873814,0.16872965618076846,0.5310630125864692,0.5544132984958346,0.4897881330222027,8
425,0.6008289733335902,0.02957966130788082,0.16489647063401833,0.530548038517085,0.5559810160887255,0.48921631815376543,8
450,0.606097852981084,0.02864829185883158,0.16034850895713765,0.5276973652979171,0.5572762730180092,0.49036316729779716,8
475,0.6083866120256178,0.027763504998170544,0.15673174173867704,0.5269526271452425,0.5551219894771657,0.4915376890745394,8
500,0.6108047261388063,0.027208184080837954,0.15395761615807035,0.5293725230788898,0.5583384412419026,0.49423171083275996,8
525,0.6141756641832329,0.027208748718272953,0.15236843056208008,0.5322019586483211,0.561647307030803,0.4934193121645199,8
550,0.6164660745690688,0.027385762554148645,0.15227590676301317,0.5359813102452441,0.5629331817606806,0.49293898954781784,8
575,0.6171601883629979,0.02751845235137612,0.15258762857532013,0.541955279203762,0.5642639892187734,0.4933326244989505,8
600,0.6159932405096039,0.02794221274635123,0.153523191110091,0.5428831134332215,0.562163437506907,0.49667768663345285,8
625,0.6128413804112391,0.028052034727460755,0.1545207009094732,0.5442961803006064,0.5643233145281603,0.5002194937845654,8
650,0.6085176184355744,0.02811894426350949,0.15651651470393774,0.5461968533889471,0.5661379843522577,0.5014474479102876,8
675,0.6037248755301494,0.028871605964378048,0.15863423753837452,0.5480185503301149,0.5646721383591027,0.5047495340805516,8
700,0.5994501033464432,0.02962567925883429,0.16097155548390144,0.5491600288368534,0.5635405998850302,0.5053190280328875,8
725,0.5947013962090708,0.030245368843758065,0.16318339050880543,0.5492965410104685,0.5645717657495403,0.505132166417889,8
750,0.5916354058584086,0.029868473355888724,0.16477337030049583,0.5482290578644655,0.5619793504205157,0.5043571543414893,8
775,0.5880041063353709,0.030333734602337067,0.16632919967708001,0.5461551817435705,0.5583298426701868,0.5045672853141737,8
800,0.5859294712129928,0.03028941056368885,0.16819953055092163,0.5468861799031404,0.5547429881580929,0.505657870636172,8
825,0.581867722057241,0.030911076379635048,0.16944522650659916,0.545574239509604,0.5536675764840145,0.5048326812900508,8
850,0.5806154549032452,0.030577940292979056,0.16929154963862109,0.5440403659878136,0.5521362086917329,0.5059369312564159,8
875,0.5804415136194374,0.030623958243932395,0.16969658944569507,0.5408535379656787,0.5506217991146579,0.5031966561596349,8
900,0.5786250381872676,0.03069086777998113,0.16919783454600398,0.5399624444341721,0.550108727773149,0.5029301231355238,8
925,0.5788853996658786,0.030426335141678737,0.16767019911677494,0.5387082300783183,0.5552956106539876,0.5015546737882747,8
950,0.5805273833671399,0.03018297640718943,0.16679777514016558,0.5374359241604711,0.557960870647796,0.4985196245105551,8
975,0.5822970707957539,0.030272189121920992,0.16767139041032517,0.53928152825355,0.5585727103664997,0.4959297050919372,8
1000,0.5820790937438935,0.030383422696617948,0.1682027073337222,0.5427587027951338,0.5603641415763337,0.49676544223255986,8
1025,0.5831161360815322,0.030627628387259936,0.16817173370141655,0.5424308306132654,0.5621873417069398,0.4970547273688859,8
1050,0.584371705918132,0.030404596600430905,0.16795372698172675,0.5419001852889934,0.5655521053229521,0.4949912635121879,8
1075,0.5866599145155653,0.030139499324693515,0.16842190534696225,0.5420983919317615,0.5654882460660579,0.49467564344695636,8
1100,0.5891683019532615,0.0304057258753009,0.16932371456447695,0.543476481156305,0.5659395857496283,0.4926473768068714,8
1125,0.5921082399178734,0.030338251701817167,0.1696672042047897,0.54467144315468,0.5669491755421071,0.4922894875309117,8
1150,0.5956547705874097,0.03038285805918295,0.16998011731064686,0.5435822551181865,0.5658754847201254,0.491675976434876,8
1175,0.5994572591587517,0.030360554880500122,0.17075763490108886,0.5431136001822114,0.5615707476009973,0.49176078685610586,8
1200,0.6015720769194779,0.030160673228506477,0.17041414526077614,0.5424896655690039,0.5583242264347079,0.4930046507390808,8
1225,0.6046799012497902,0.03031566620441678,0.1688245625669358,0.5396972105477794,0.5579202428942059,0.4952226349917877,8
1250,0.6086552302107388,0.029849275683098316,0.16754471619615202,0.5369995867099785,0.5573706852216733,0.49351828663953723,8
1275,0.6129344059712502,0.02942749151914576,0.16623707297586318,0.5372965836228253,0.5586723149924817,0.492445205171826,8
1300,0.6164754321697801,0.029361428939249458,0.16349272973401194,0.5355401072610335,0.5584413112202928,0.4921298348113047,8
1325,0.6203654418301265,0.028784087161951605,0.1598449888832457,0.5322303668861619,0.5574155127076942,0.49217514952769525,8
1350,0.6231699698079766,0.028338870544445973,0.15467318648390105,0.5286300775208479,0.5597844234819723,0.4926512338528421,8
1375,0.625372859104808,0.027873044660562507,0.15012165092636973,0.5260947170520822,0.5615329684976137,0.49298271685569334,8
